item,itemLabel,freebase_id
http://www.wikidata.org/entity/Q1026,Poles,/m/01p7s6
http://www.wikidata.org/entity/Q4320,Archi people,/m/0g6f6q
http://www.wikidata.org/entity/Q8060,Romani people,/m/06j2v
http://www.wikidata.org/entity/Q12223,Kurds,/m/04c28
http://www.wikidata.org/entity/Q12489,Konyak people,/m/09nthp
http://www.wikidata.org/entity/Q13685,Siddi,/m/03y8h0
http://www.wikidata.org/entity/Q15763,Circassians,/m/02kr2h
http://www.wikidata.org/entity/Q15863,Slovenes,/m/01km_m
http://www.wikidata.org/entity/Q18973,Georgians,/m/029q52
http://www.wikidata.org/entity/Q19109,Montenegrins,/m/02tbv6
http://www.wikidata.org/entity/Q20828,Chetco people,/m/0cc5v2g
http://www.wikidata.org/entity/Q22633,Germanic peoples,/m/038cy
http://www.wikidata.org/entity/Q25068,Kirati people,/m/0fsl2v
http://www.wikidata.org/entity/Q26235,Chahar Mongols,/m/01cht1
http://www.wikidata.org/entity/Q26264,Xionites,/m/07kztp
http://www.wikidata.org/entity/Q26291,Adjarians,/m/09vg_y
http://www.wikidata.org/entity/Q26576,Hephthalite Empire,/m/01t08h
http://www.wikidata.org/entity/Q26862,Hän people,/m/03gq7tt
http://www.wikidata.org/entity/Q27877,Coquille people,/m/01w7l3
http://www.wikidata.org/entity/Q31230,Chechens,/m/02xphm
http://www.wikidata.org/entity/Q31415,Overseas Taiwanese,/m/0j3dsxf
http://www.wikidata.org/entity/Q32017,Guarani-Kaiowá,/m/06_17c
http://www.wikidata.org/entity/Q32706,Dioula,/m/027j47k
http://www.wikidata.org/entity/Q32739,Drevlyans,/m/03s4z9
http://www.wikidata.org/entity/Q32768,Anglo-Saxons,/m/09f6v
http://www.wikidata.org/entity/Q32799,Dregovichs,/m/0277cx
http://www.wikidata.org/entity/Q33543,Mordvins,/m/02v219
http://www.wikidata.org/entity/Q33938,Hausa people,/m/0163tw
http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,/m/013b6_
http://www.wikidata.org/entity/Q34283,Yugurs,/m/01wx1z
http://www.wikidata.org/entity/Q34344,Yurok people,/m/0dxrfd
http://www.wikidata.org/entity/Q35323,Arabs,/m/0xff
http://www.wikidata.org/entity/Q35565,Tatars,/m/0fp4n
http://www.wikidata.org/entity/Q36411,Shipibo-Conibo people,/m/025sr_7
http://www.wikidata.org/entity/Q36550,Tahltan people,/m/05thp5
http://www.wikidata.org/entity/Q36692,Zhuang people,/m/01gby2
http://www.wikidata.org/entity/Q36747,Indigenous peoples of the Americas,/m/0432mrk
http://www.wikidata.org/entity/Q36978,Pemon,/m/09gbh8n
http://www.wikidata.org/entity/Q37014,Yupik peoples,/m/0jqtk
http://www.wikidata.org/entity/Q37556,Vepsians,/m/04_6_s
http://www.wikidata.org/entity/Q38915,Pomaks,/m/013s35
http://www.wikidata.org/entity/Q39615,Krashovani,/m/0443q7
http://www.wikidata.org/entity/Q41477,Bubi people,/m/036p3f
http://www.wikidata.org/entity/Q41975,Mongols,/m/04sp3
http://www.wikidata.org/entity/Q42406,English people,/m/02w7gg
http://www.wikidata.org/entity/Q42740,Han Chinese people,/m/013y54
http://www.wikidata.org/entity/Q44614,Taiwanese Americans,/m/01nbcy
http://www.wikidata.org/entity/Q44806,Ukrainians,/m/012f86
http://www.wikidata.org/entity/Q44949,Bukharan Jews,/m/04mwbb
http://www.wikidata.org/entity/Q45009,Purepecha,/m/01btfz
http://www.wikidata.org/entity/Q45162,Mayo people,/m/0cgdn3
http://www.wikidata.org/entity/Q45232,history of the Jews in Finland,/m/01194d_4
http://www.wikidata.org/entity/Q45315,Berber,/m/0cx3p
http://www.wikidata.org/entity/Q45914,Maya people,/m/01zsjv
http://www.wikidata.org/entity/Q46118,Uyghurs,/m/07tc8
http://www.wikidata.org/entity/Q46531,Mazanderani people,/m/0cd90b
http://www.wikidata.org/entity/Q46713,Saraiki people,/m/052ftp
http://www.wikidata.org/entity/Q46826,Ahtna people,/m/03435m
http://www.wikidata.org/entity/Q48199,Sámi people,/m/06rd7
http://www.wikidata.org/entity/Q48287,Krivich,/m/03sg11
http://www.wikidata.org/entity/Q48343,Varangians,/m/016h0b
http://www.wikidata.org/entity/Q48885,Makonde people,/m/07s8n27
http://www.wikidata.org/entity/Q49078,White Americans,/m/07hwkr
http://www.wikidata.org/entity/Q49085,African Americans,/m/0x67
http://www.wikidata.org/entity/Q49209,Javanese,/m/02gx2x
http://www.wikidata.org/entity/Q49291,Powhatan,/m/02k1vf
http://www.wikidata.org/entity/Q49297,Native Americans in the United States,/m/059_w
http://www.wikidata.org/entity/Q49299,Accohannock,/m/06szdg
http://www.wikidata.org/entity/Q49306,Apalachee people,/m/0630vt
http://www.wikidata.org/entity/Q49307,Appomattoc,/m/04m_zw2
http://www.wikidata.org/entity/Q49309,Arrohattoc,/m/0ndj7pv
http://www.wikidata.org/entity/Q49540,Latvians,/m/01ylpf
http://www.wikidata.org/entity/Q49542,Russians,/m/0g6ff
http://www.wikidata.org/entity/Q50001,Italians,/m/0222qb
http://www.wikidata.org/entity/Q51705,Muscogee,/m/0fr3k
http://www.wikidata.org/entity/Q51710,Tunica-Biloxi,/m/04bc0x
http://www.wikidata.org/entity/Q51716,Houma people,/m/06t4rv
http://www.wikidata.org/entity/Q51782,Calusa,/m/02lwr2
http://www.wikidata.org/entity/Q52974,Bambrzy,/m/02bsr4
http://www.wikidata.org/entity/Q55209,Cape Fear Indians,/m/07j4fs
http://www.wikidata.org/entity/Q55273,Capinan people,/m/0ndw8bf
http://www.wikidata.org/entity/Q55290,Catawba people,/m/0353fz
http://www.wikidata.org/entity/Q56168,Timucua,/m/05l5hh
http://www.wikidata.org/entity/Q56186,Chatot people,/m/03c862t
http://www.wikidata.org/entity/Q56188,Chitimacha,/m/032cq7
http://www.wikidata.org/entity/Q56347,Gangte people,/m/03k71n
http://www.wikidata.org/entity/Q56371,Anlo Ewe people,/m/03nrbk
http://www.wikidata.org/entity/Q56389,Natchez people,/m/058v_z
http://www.wikidata.org/entity/Q56394,Agaw people,/m/06j8cl
http://www.wikidata.org/entity/Q56490,Tsimshian people,/m/02s_d2
http://www.wikidata.org/entity/Q56534,Patwin people,/m/07wdgf
http://www.wikidata.org/entity/Q56535,Quileute people,/m/01tr3r
http://www.wikidata.org/entity/Q56585,Mescalero,/m/0446z2
http://www.wikidata.org/entity/Q56701,Esselen people,/m/02szp2
http://www.wikidata.org/entity/Q56716,Alsea people,/m/04l6t5
http://www.wikidata.org/entity/Q56813,Nomlaki people,/m/07w72g
http://www.wikidata.org/entity/Q56932,Kalenjin people,/m/02k75d
http://www.wikidata.org/entity/Q56975,Arbëreshë,/m/027hhf
http://www.wikidata.org/entity/Q58187,Sri Lankan Malays,/m/03qp4zb
http://www.wikidata.org/entity/Q58562,Fuzhou Tanka,/m/07khjtt
http://www.wikidata.org/entity/Q58669,Hispanic and Latino Americans,/m/025rpb0
http://www.wikidata.org/entity/Q58843,Tuareg,/m/0p_y8
http://www.wikidata.org/entity/Q60046,Nivkh people,/m/02s4fs
http://www.wikidata.org/entity/Q60269,Qizilbash,/m/07l9pv
http://www.wikidata.org/entity/Q60510,Lun Bawang,/m/02rnhnm
http://www.wikidata.org/entity/Q65441,Qajars,/m/04q3hbq
http://www.wikidata.org/entity/Q69798,Dravidian peoples,/m/02h80
http://www.wikidata.org/entity/Q69798,Dravidian peoples,/m/02z0lkh
http://www.wikidata.org/entity/Q72484,Tay people,/m/03y03x
http://www.wikidata.org/entity/Q72486,Chứt people,/m/0bkj2m
http://www.wikidata.org/entity/Q72488,San Chay people,/m/03cfmjb
http://www.wikidata.org/entity/Q72805,Muong people,/m/05dr6r
http://www.wikidata.org/entity/Q72810,Nùng people,/m/02whq8
http://www.wikidata.org/entity/Q73629,Bakossi people,/m/0gfg6qt
http://www.wikidata.org/entity/Q74333,Ejagham people,/m/04f3ptb
http://www.wikidata.org/entity/Q74591,Zappo Zap,/m/0hn8vw9
http://www.wikidata.org/entity/Q79797,Armenians,/m/022fdt
http://www.wikidata.org/entity/Q80040,Kazakhs,/m/01f0hl
http://www.wikidata.org/entity/Q80248,Greeks in Bulgaria,/m/011901jl
http://www.wikidata.org/entity/Q82048,Lenape,/m/01hhnn
http://www.wikidata.org/entity/Q83142,Yenisei Kirghiz,/m/02rj0nt
http://www.wikidata.org/entity/Q83328,Turkic peoples,/m/0c5t3
http://www.wikidata.org/entity/Q83418,Normans,/m/05g6q
http://www.wikidata.org/entity/Q83642,Khattak,/m/02vzyt
http://www.wikidata.org/entity/Q84072,Turks,/m/0118b8ry
http://www.wikidata.org/entity/Q86735,Afro-Germans,/m/0bs8xb
http://www.wikidata.org/entity/Q87521,Histri,/m/0h3lys5
http://www.wikidata.org/entity/Q101828,Ainu people,/m/0qmq
http://www.wikidata.org/entity/Q101985,Saxons,/m/06y22
http://www.wikidata.org/entity/Q102090,Apache,/m/01_5cg
http://www.wikidata.org/entity/Q102251,Sephardi Jews,/m/013b7g
http://www.wikidata.org/entity/Q105405,Cherokee,/m/0dbxy
http://www.wikidata.org/entity/Q106974,Ossetians,/m/01srl7
http://www.wikidata.org/entity/Q106991,Chukchi people,/m/0fwpx
http://www.wikidata.org/entity/Q107331,Great Lakes Twa,/m/0hnvh
http://www.wikidata.org/entity/Q107434,Sioux,/m/0fk3s
http://www.wikidata.org/entity/Q108266,Navajo,/m/08k5jg
http://www.wikidata.org/entity/Q109402,Aymara,/m/01g3rx
http://www.wikidata.org/entity/Q115026,Swedish Americans,/m/065b6q
http://www.wikidata.org/entity/Q115473,Hazaras,/m/03nvq
http://www.wikidata.org/entity/Q115862,Lotuko people,/m/0cxs7y
http://www.wikidata.org/entity/Q115864,Toposa people,/m/0ctftc
http://www.wikidata.org/entity/Q115981,Avukaya people,/m/0ccq72
http://www.wikidata.org/entity/Q116203,Murle people,/m/09v991
http://www.wikidata.org/entity/Q116299,Mandari people,/m/04dmzw
http://www.wikidata.org/entity/Q116971,Mohawk,/m/01sq7s
http://www.wikidata.org/entity/Q117100,Kiowa people,/m/01npch
http://www.wikidata.org/entity/Q117191,Cree,/m/0dq1q
http://www.wikidata.org/entity/Q117244,Arahuacos (Arawak),/m/0hc2x
http://www.wikidata.org/entity/Q117255,Hopi people,/m/0fxf
http://www.wikidata.org/entity/Q117255,Hopi people,/m/0fxf_
http://www.wikidata.org/entity/Q117458,Crimean Tatars,/m/03r9vh
http://www.wikidata.org/entity/Q117726,Dhanak,/m/05msfxs
http://www.wikidata.org/entity/Q118281,Kannada people,/m/01xttr
http://www.wikidata.org/entity/Q120601,Omaha Tribe of Nebraska,/m/064b9n
